"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"7";"";"RESISTOR0603-RES";"0603-RES";"R104, R105, R106, R107, R113, R114, R115";"Resistor";"";
"1";"0.1uF";"CAP0603-CAP";"0603-CAP";"C101";"Capacitor";"";
"1";"0.5A/40V/420mV";"DIODE-SCHOTTKY-PMEG4005EJ";"SOD-323";"D100";"Schottky diode";"";
"4";"100k";"R-US_R0603";"R0603";"R100, R101, R102, R103";"RESISTOR, American symbol";"";
"3";"1K";"RESISTOR0603";"0603-RES";"R108, R109, R111";"Resistor";"";
"2";"220";"RESISTOR0603";"0603-RES";"R110, R112";"Resistor";"";
"2";"4.7uf";"CERAMIC-4.7UF-25V-10%-X5R(0805)";"C0805";"C100, C102";"302010146";"";
"1";"6N137SMT";"6N137SMT";"DIL8-SMD";"OPTO";"MOTOROLA OPTO COUPLER";"";
"1";"78L05";"78LXX-SOT89";"SOT89";"VR1";"VOLTAGE REGULATOR";"";
"2";"F10";"M10SILK_FEMALE_PTH";"1X10_OCTO";"J100, J101";"Header 10";"";
"10";"JACK-3_5MM-MONO-SW-MIN";"JACK-3_5MM-MONO-SW-MIN";"WQP_PJ301M-MIN";"MIDI_CLK, MIDI_RUN, P1J, P2J, P3J, P4J, P5J, P6J, P7J, P8J";"Jack, 3.5mm, RIght Angle, Though-Hole";"";
"2";"JACK-3_5MM-STEREO";"JACK-3_5MM-STEREO";"WQP_PJ301M-MIN";"MIDI_IN, MIDI_OUT";"Stereo 3.5mm Jack (TRS - Tip, Ring, Sleeve)";"";
"4";"MMBT3904";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"Q100, Q101, Q102, Q103";"NPN Transistror";"";
"1";"PA_LOGO_SYMLARGE";"PA_LOGO_SYMLARGE";"PA_LOGO_AGENT_LRG_SYM";"$$U$1";"PatternAgents Logo Symbol";"";
"1";"PA_LOGO_SYMSMALL";"PA_LOGO_SYMSMALL";"PA_LOGO_AGENT_SMALL_SYM";"U$100";"PatternAgents Logo Symbol";"";
"1";"SN74HC245PW";"SN74HC245PW";"SOP65P640X120-20N";"U100";"OCTAL BUS TRANSCEIVERS";"";
